rowid,pageid,int,action_type,action_name,action_sub,syn,lat,long,pubdate,country,species,genus,family,order,class,binomial,eff_cat,eff_score,cert_score,harm_score,Habitat,Authors,threatname,threattype,Journal,grey_lit,original_title,ref_startpage,ref_endpage,ref_vol,ref_citation,ref_authorstring,ref_englishname,Marine_Ecoregion,Marine_Province,Marine_Realm,Marine_Zone
1,1428,Play predator calls to deter mammals from fishing gear,Other,NA,NA,Marine and Freshwater Mammal Conservation,-33.227792,21.856859,1981,South Africa,capensis,Engraulis,Engraulidae,NA,NA,Engraulis capensis,Unknown effectiveness,0,20,10,Marine,"Shaughnessy P.D., Semmelink A., Cooper J. & Frost P.G.H.",Harvest aquatic resource,Biological resource use,Biological Conservation,0,Attempts to develop acoustic methods of keeping cape fur seals <i>Arctocephalus pusillus</i> from fishing nets,141,158,21,"Shaughnessy P.D., Semmelink A., Cooper J. & Frost P.G.H. (1981) Attempts to develop acoustic methods of keeping cape fur seals <i>Arctocephalus pusillus</i> from fishing nets. <i>Biological Conservation</i>, 21, 141-158","Shaughnessy P.D., Semmelink A., Cooper J. & Frost P.G.H.",,Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate
2,1428,Play predator calls to deter mammals from fishing gear,Other,NA,NA,Marine and Freshwater Mammal Conservation,-33.227792,21.856859,1981,South Africa,pusillus,Arctocephalus,Otariidae,Carnivora,Mammalia,Arctocephalus pusillus,Unknown effectiveness,0,20,10,Marine,"Shaughnessy P.D., Semmelink A., Cooper J. & Frost P.G.H.",Harvest aquatic resource,Biological resource use,Biological Conservation,0,Attempts to develop acoustic methods of keeping cape fur seals <i>Arctocephalus pusillus</i> from fishing nets,141,158,21,"Shaughnessy P.D., Semmelink A., Cooper J. & Frost P.G.H. (1981) Attempts to develop acoustic methods of keeping cape fur seals <i>Arctocephalus pusillus</i> from fishing nets. <i>Biological Conservation</i>, 21, 141-158","Shaughnessy P.D., Semmelink A., Cooper J. & Frost P.G.H.",,Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate
3,1428,Play predator calls to deter mammals from fishing gear,Other,NA,NA,Marine and Freshwater Mammal Conservation,-33.227792,21.856859,1981,South Africa,orca,Orcinus,Delphinidae,NA,NA,Orcinus orca,Unknown effectiveness,0,20,10,Marine,"Shaughnessy P.D., Semmelink A., Cooper J. & Frost P.G.H.",Harvest aquatic resource,Biological resource use,Biological Conservation,0,Attempts to develop acoustic methods of keeping cape fur seals <i>Arctocephalus pusillus</i> from fishing nets,141,158,21,"Shaughnessy P.D., Semmelink A., Cooper J. & Frost P.G.H. (1981) Attempts to develop acoustic methods of keeping cape fur seals <i>Arctocephalus pusillus</i> from fishing nets. <i>Biological Conservation</i>, 21, 141-158","Shaughnessy P.D., Semmelink A., Cooper J. & Frost P.G.H.",,Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate
4,8602,Install exclusion and/or escape devices for mammals on fishing nets,Species management ,Species management,Harvest management,Marine and Freshwater Mammal Conservation,-19.982075,117.729179,2017,Australia,spp.,Chondrichthyes,Chondrichthyes,NA,NA,Chondrichthyes spp.,Likely to be beneficial,60,60,15,Marine,"Wakefield C.B., Santana-Garcon J., Dorman S.R., Blight S., Denham A., Wakeford J., Molony B.W. & Newman S.J.",Harvest aquatic resource,Biological resource use,ICES Journal of Marine Science,0,"Performance of bycatch reduction devices varies for chondrichthyan, reptile, and cetacean mitigation in demersal fish trawls: assimilating subsurface interactions and unaccounted mortality",343,358,74,"Wakefield C.B., Santana-Garcon J., Dorman S.R., Blight S., Denham A., Wakeford J., Molony B.W. & Newman S.J. (2017) Performance of bycatch reduction devices varies for chondrichthyan, reptile, and cetacean mitigation in demersal fish trawls: assimilating subsurface interactions and unaccounted mortality. <i>ICES Journal of Marine Science</i>, 74, 343-358","Wakefield C.B., Santana-Garcon J., Dorman S.R., Blight S., Denham A., Wakeford J., Molony B.W. & Newman S.J.",,Exmouth to Broome,Northwest Australian Shelf,Central Indo-Pacific,Tropical
5,8602,Install exclusion and/or escape devices for mammals on fishing nets,Species management ,Species management,Harvest management,Marine and Freshwater Mammal Conservation,-19.982075,117.729179,2017,Australia,truncatus,Tursiops,Delphinidae,Artiodactyla,Mammalia,Tursiops truncatus,Likely to be beneficial,60,60,15,Marine,"Wakefield C.B., Santana-Garcon J., Dorman S.R., Blight S., Denham A., Wakeford J., Molony B.W. & Newman S.J.",Harvest aquatic resource,Biological resource use,ICES Journal of Marine Science,0,"Performance of bycatch reduction devices varies for chondrichthyan, reptile, and cetacean mitigation in demersal fish trawls: assimilating subsurface interactions and unaccounted mortality",343,358,74,"Wakefield C.B., Santana-Garcon J., Dorman S.R., Blight S., Denham A., Wakeford J., Molony B.W. & Newman S.J. (2017) Performance of bycatch reduction devices varies for chondrichthyan, reptile, and cetacean mitigation in demersal fish trawls: assimilating subsurface interactions and unaccounted mortality. <i>ICES Journal of Marine Science</i>, 74, 343-358","Wakefield C.B., Santana-Garcon J., Dorman S.R., Blight S., Denham A., Wakeford J., Molony B.W. & Newman S.J.",,Exmouth to Broome,Northwest Australian Shelf,Central Indo-Pacific,Tropical
6,8647,Use volunteers to deter tourists from harassing marine and freshwater mammals at wildlife-viewing sites,Land/water protection,Site/area protection,NA,Marine and Freshwater Mammal Conservation,-42.2444188,173.8301557,2011,New Zealand,forsteri,Arctocephalus,Otariidae,Carnivora,Mammalia,Arctocephalus forsteri,Likely to be beneficial,60,40,0,"Rivers, Streams, Creeks","Acevedo-Gutierrez A., Acevedo L. & Boren L.",Recreational activities,Human intrusions & disturbance,Conservation Biology,0,Effects of the presence of official-looking volunteers on harassment of New Zealand fur seals,623,627,25,"Acevedo-Gutierrez A., Acevedo L. & Boren L. (2011) Effects of the presence of official-looking volunteers on harassment of New Zealand fur seals. <i>Conservation Biology</i>, 25, 623-627","Acevedo-Gutierrez A., Acevedo L. & Boren L.",,Central New Zealand,Southern New Zealand,Temperate Australasia,Temperate
7,8648,Inform the public of ways to reduce disturbance to marine and freshwater mammals (e.g. use educational signs),Education and awareness,Awareness & communications,NA,Marine and Freshwater Mammal Conservation,-42.4183554,173.6948503,2011,New Zealand,forsteri,Arctocephalus,Otariidae,Carnivora,Mammalia,Arctocephalus forsteri,Unknown effectiveness,20,30,0,Coastal,"Acevedo-Gutierrez A., Acevedo L., Belonovich O. & Boren L.",Recreational activities,Human intrusions & disturbance,Tourism in Marine Environments,0,How effective are posted signs to regulate tourism? An example with New Zealand fur seals,39,41,7,"Acevedo-Gutierrez A., Acevedo L., Belonovich O. & Boren L. (2011) How effective are posted signs to regulate tourism? An example with New Zealand fur seals. <i>Tourism in Marine Environments</i>, 7, 39-41","Acevedo-Gutierrez A., Acevedo L., Belonovich O. & Boren L.",,Central New Zealand,Southern New Zealand,Temperate Australasia,Temperate
8,8649,Legally protect habitat for marine and freshwater mammals,Law & policy,Legislation,National level,Marine and Freshwater Mammal Conservation,-34.84411,138.5047661,2018,Australia,aduncus,Tursiops,Delphinidae,Artiodactyla,Mammalia,Tursiops aduncus,Likely to be beneficial,70,60,0,Coastal,"Adamczak S.K., Kemper C. & Tomo I.",Work & other activities,Human intrusions & disturbance,Journal of Cetacean Research and Management,0,"Strandings of dolphins in the Adelaide Dolphin Sanctuary, South Australia",105,111,19,"Adamczak S.K., Kemper C. & Tomo I. (2018) Strandings of dolphins in the Adelaide Dolphin Sanctuary, South Australia. <i>Journal of Cetacean Research and Management</i>, 19, 105-111","Adamczak S.K., Kemper C. & Tomo I.",,South Australian Gulfs,Southwest Australian Shelf,Temperate Australasia,Temperate
9,8649,Legally protect habitat for marine and freshwater mammals,Land/water protection,Resource & habitat protection,NA,Marine and Freshwater Mammal Conservation,-34.84411,138.5047661,2018,Australia,aduncus,Tursiops,Delphinidae,Artiodactyla,Mammalia,Tursiops aduncus,Likely to be beneficial,70,60,0,Coastal,"Adamczak S.K., Kemper C. & Tomo I.",Work & other activities,Human intrusions & disturbance,Journal of Cetacean Research and Management,0,"Strandings of dolphins in the Adelaide Dolphin Sanctuary, South Australia",105,111,19,"Adamczak S.K., Kemper C. & Tomo I. (2018) Strandings of dolphins in the Adelaide Dolphin Sanctuary, South Australia. <i>Journal of Cetacean Research and Management</i>, 19, 105-111","Adamczak S.K., Kemper C. & Tomo I.",,South Australian Gulfs,Southwest Australian Shelf,Temperate Australasia,Temperate
10,8650,Hand-rear orphaned or abandoned marine and freshwater mammal young,Species management ,Ex-situ conservation,Captive breeding/artificial propogation,Marine and Freshwater Mammal Conservation,27.5909004,-81.4498717,2016,United States,manatus,Trichechus,Trichechidae,Sirenia,Mammalia,Trichechus manatus,Trade off between benefit and harms,60,50,20,Coastal,"Adimey N.M., Ross M., Hall M., Reid J.P., Barlas M.E., Diagne L.W.K. & Bonde R.K.",Temperature extremes,Climate change & severe weather,Aquatic Mammals,0,Twenty-six years of post-release monitoring of Florida manatees (<i>Trichechus manatus latirostris</i>): Evaluation of a cooperative rehabilitation program,376,391,42,"Adimey N.M., Ross M., Hall M., Reid J.P., Barlas M.E., Diagne L.W.K. & Bonde R.K. (2016) Twenty-six years of post-release monitoring of Florida manatees (<i>Trichechus manatus latirostris</i>): Evaluation of a cooperative rehabilitation program. <i>Aquatic Mammals</i>, 42, 376-391","Adimey N.M., Ross M., Hall M., Reid J.P., Barlas M.E., Diagne L.W.K. & Bonde R.K.",,Floridian,Tropical Northwestern Atlantic,Tropical Atlantic,Tropical
