rowid,ID,url,page_views,redlistCategory,ED,studies
1,Arctocephalus australis,https://en.wikipedia.org/wiki/South_American_fur_seal,103343,Least Concern,5.230657294,0
2,Arctocephalus forsteri,https://en.wikipedia.org/wiki/Arctocephalus_forsteri,116741,Least Concern,5.196520348,4
3,Arctocephalus galapagoensis,https://en.wikipedia.org/wiki/Gal%C3%A1pagos_fur_seal,108676,Endangered,5.187596287,0
4,Arctocephalus gazella,https://en.wikipedia.org/wiki/Antarctic_fur_seal,240223,Least Concern,6.266991461,1
5,Arctocephalus philippii,https://en.wikipedia.org/wiki/Juan_Fern%C3%A1ndez_fur_seal,67772,Least Concern,5.245931408,0
6,Arctocephalus pusillus,https://en.wikipedia.org/wiki/Brown_fur_seal,202408,Least Concern,11.2210282,5
7,Arctocephalus townsendi,https://en.wikipedia.org/wiki/Guadalupe_fur_seal,88038,Least Concern,7.373643767,1
8,Arctocephalus tropicalis,https://en.wikipedia.org/wiki/Subantarctic_fur_seal,80297,Least Concern,6.267387118,0
9,Balaena mysticetus,https://en.wikipedia.org/wiki/Bowhead_whale,2358159,Least Concern,18.46664595,1
10,Balaenoptera acutorostrata,https://en.wikipedia.org/wiki/Common_minke_whale,276571,Least Concern,20.00397526,3
11,Balaenoptera bonaerensis,https://en.wikipedia.org/wiki/Antarctic_minke_whale,160579,Near Threatened,20.00397526,0
12,Balaenoptera borealis,https://en.wikipedia.org/wiki/Sei_whale,585297,Endangered,18.74401536,0
13,Balaenoptera edeni,https://en.wikipedia.org/wiki/Bryde%27s_whale,645302,Least Concern,18.74401536,0
14,Balaenoptera musculus,https://en.wikipedia.org/wiki/Blue_whale,11568091,Endangered,21.21643663,1
15,Balaenoptera omurai,https://en.wikipedia.org/wiki/Omura%27s_whale,350109,Data Deficient,19.58398863,0
16,Balaenoptera physalus,https://en.wikipedia.org/wiki/Fin_whale,1404862,Vulnerable,22.31916835,1
17,Balaenoptera ricei,https://en.wikipedia.org/wiki/Rice%27s_whale,127929,Critically Endangered,19.58398863,0
18,Berardius arnuxii,https://en.wikipedia.org/wiki/Arnoux%27s_beaked_whale,28727,Least Concern,11.56244807,0
19,Berardius bairdii,https://en.wikipedia.org/wiki/Baird%27s_beaked_whale,75944,Least Concern,11.64455291,0
20,Berardius minimus,https://en.wikipedia.org/wiki/Sato%27s_beaked_whale,8550,Near Threatened,11.60350049,0
21,Callorhinus ursinus,https://en.wikipedia.org/wiki/Northern_fur_seal,241295,Vulnerable,11.32782446,1
22,Caperea marginata,https://en.wikipedia.org/wiki/Pygmy_right_whale,222897,Least Concern,33.84090678,0
23,Cephalorhynchus commersonii,https://en.wikipedia.org/wiki/Commerson%27s_dolphin,189596,Least Concern,7.765530175,0
24,Cephalorhynchus eutropia,https://en.wikipedia.org/wiki/Chilean_dolphin,70518,Near Threatened,7.770621782,0
25,Cephalorhynchus heavisidii,https://en.wikipedia.org/wiki/Heaviside%27s_dolphin,106983,Near Threatened,9.678699538,0
26,Cephalorhynchus hectori,https://en.wikipedia.org/wiki/Hector%27s_dolphin,265425,Endangered,8.550751858,1
27,Cystophora cristata,https://en.wikipedia.org/wiki/Hooded_seal,340812,Vulnerable,14.36493553,0
28,Delphinapterus leucas,https://en.wikipedia.org/wiki/Beluga_whale,4231513,Least Concern,21.37410776,0
29,Delphinus delphis,https://en.wikipedia.org/wiki/Common_dolphin,456628,Least Concern,8.263979293,8
