,Balaenidae,Balaenopteridae,Delphinidae,Dugongidae,Eschrichtiidae,Iniidae,Kogiidae,Otariidae,Phocidae,Phocoenidae,Physeteridae,Platanistidae,Pontoporiidae,Trichechidae,Ziphiidae,
Awareness & communications,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,5
Conservation payments,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
Formal education,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,5
Genome resource bank,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Habitat & natural process restoration,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
Harvest management,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,7
International level,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,6
Linked enterprises & livelihood alternatives,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,5
Market forces,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,4
National level,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,9
Non-monetary values,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
Policies and regulations,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3
Private sector standards & codes,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3
Reintroduction,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Resource & habitat protection,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,4
Site/area management,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,6
Site/area protection,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,7
Species recovery,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4
Sub-national level,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,6
Substitution,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3
Training,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,4
,3,1,12,9,1,6,0,2,7,12,0,6,12,18,0,
