,Balaenidae,Balaenopteridae,Delphinidae,Dugongidae,Eschrichtiidae,Iniidae,Kogiidae,Otariidae,Phocidae,Phocoenidae,Physeteridae,Platanistidae,Pontoporiidae,Trichechidae,Ziphiidae,
Awareness & communications,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Compliance and enforcement,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Ex-situ conservation,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,4
Invasive/problematic species control,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,5
Legislation,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,7
Policies and regulations,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,5
Site/area management,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Species management,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,6
Species recovery,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,4
Species reintroduction,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,8
,3,5,5,1,2,1,3,4,4,3,5,0,0,6,2,
